epoch,phase,train_loss,train_acc,val_acc,val_f1
1,s1,1.901444053245803,0.3885350318471338,0.5,0.4472049689440994
2,s1,1.3993018956507666,0.5987261146496815,0.625,0.596875
3,s1,1.13701670351675,0.6581740976645435,0.6607142857142857,0.6555912106898949
4,s1,1.0399797801244057,0.7112526539278131,0.7857142857142857,0.7629224941724941
5,s1,0.9280641553765636,0.7430997876857749,0.7142857142857143,0.7122757177033492
6,s1,0.9319281992265733,0.732484076433121,0.6964285714285714,0.7157782780944546
7,s1,0.8851558874219151,0.7515923566878981,0.7857142857142857,0.8061759319112259
8,s1,0.8958882063122119,0.7537154989384289,0.7678571428571429,0.7764676940276786
9,s1,0.8564810353820607,0.7749469214437368,0.8392857142857143,0.8508986928104575
10,s1,0.7531222024206388,0.8237791932059448,0.8571428571428571,0.8765040106951871
11,s2,0.7724753057552596,0.821656050955414,0.8571428571428571,0.874331550802139
12,s2,0.6791230707855548,0.8365180467091295,0.875,0.8910464943553178
13,s2,0.7242176022570012,0.8089171974522293,0.8392857142857143,0.854751559714795
14,s2,0.7383745711738781,0.8237791932059448,0.8571428571428571,0.8750464200831848
15,s2,0.6668281277357522,0.861995753715499,0.8392857142857143,0.854751559714795
16,s2,0.6134403878349369,0.89171974522293,0.875,0.8867851307189543
17,s2,0.6135446131229401,0.8938428874734607,0.8571428571428571,0.8706495098039215
18,s2,0.6834162448422384,0.8577494692144374,0.8392857142857143,0.8577540106951871
19,s2,0.6363480964959678,0.8747346072186837,0.8571428571428571,0.8622221915081821
20,s2,0.6385057401859154,0.8726114649681529,0.8571428571428571,0.8628618113912232
21,s2,0.6306311387126728,0.8980891719745223,0.875,0.8937017231134878
22,s2,0.6174664012456345,0.881104033970276,0.8214285714285714,0.8311754626092861
23,s2,0.61444478115793,0.881104033970276,0.8571428571428571,0.8725490196078431
24,s2,0.61765592431618,0.8959660297239915,0.8214285714285714,0.8311754626092861
25,s2,0.5790907255673813,0.9023354564755839,0.8571428571428571,0.8755236185383244
26,s2,0.6174466024010868,0.8874734607218684,0.8392857142857143,0.8558257918552037
27,s2,0.604527510828891,0.881104033970276,0.8214285714285714,0.8349598930481283
28,s2,0.6155829757957135,0.8959660297239915,0.8571428571428571,0.8724033319621555
29,s2,0.6177248606237314,0.8980891719745223,0.8392857142857143,0.8519942067736186
30,s2,0.5946383743973102,0.9087048832271762,0.8571428571428571,0.874455077086656
